I Know You're Tired… Let These Psalms Carry You Through the Night

If today took more from you than you had to give, this is a quiet place to end it.
Eighty-nine psalms, read slowly and without interruption, so you can stop holding
your thoughts together and let them settle.

Nothing here needs your attention. Let it play, close your eyes, and rest.

Focused on:
• Weariness that sleep alone doesn't fix
• Letting go of the day
• Being carried instead of carrying
• Quiet for a mind that won't stop

Read from the World English Bible (British Edition).

May you sleep held and wake lighter. If these readings help you, subscribing means
you'll find the next one.

Chapters:
0:00 Opening prayer
1:50 Psalm 1
2:40 Psalm 2
4:02 Psalm 3
5:06 Psalm 4
6:13 Psalm 5
7:54 Psalm 6
9:03 Psalm 7
11:17 Psalm 8
12:23 Psalm 9
14:49 Psalm 10
17:06 Psalm 11
18:03 Psalm 12
19:04 Psalm 13
19:47 Psalm 14
20:48 Psalm 15
21:34 Psalm 16
22:58 Psalm 17
25:00 Psalm 18
31:14 Psalm 19
33:08 Psalm 20
34:12 Psalm 21
35:48 Psalm 22
39:40 Psalm 23
40:28 Psalm 24
41:40 Psalm 25
44:03 Psalm 26
45:19 Psalm 27
47:33 Psalm 28
48:58 Psalm 29
50:17 Psalm 30
51:48 Psalm 31
55:10 Psalm 32
56:49 Psalm 33
59:13 Psalm 34
1:01:31 Psalm 35
1:05:30 Psalm 36
1:07:03 Psalm 37
1:11:41 Psalm 38
1:14:07 Psalm 39
1:16:00 Psalm 40
1:18:43 Psalm 41
1:20:18 Psalm 42
1:22:08 Psalm 43
1:22:58 Psalm 44
1:25:57 Psalm 45
1:28:18 Psalm 46
1:29:42 Psalm 47
1:30:44 Psalm 48
1:32:22 Psalm 49
1:34:45 Psalm 50
1:37:26 Psalm 51
1:39:43 Psalm 52
1:41:00 Psalm 53
1:42:07 Psalm 54
1:42:57 Psalm 55
1:45:54 Psalm 56
1:47:26 Psalm 57
1:49:07 Psalm 58
1:50:30 Psalm 59
1:52:52 Psalm 60
1:54:21 Psalm 61
1:55:16 Psalm 62
1:56:56 Psalm 63
1:58:17 Psalm 64
1:59:32 Psalm 65
2:01:22 Psalm 66
2:03:36 Psalm 67
2:04:24 Psalm 68
2:09:24 Psalm 69
2:13:48 Psalm 70
2:14:32 Psalm 71
2:17:37 Psalm 72
2:20:06 Psalm 73
2:23:02 Psalm 74
2:25:46 Psalm 75
2:27:03 Psalm 76
2:28:28 Psalm 77
2:30:54 Psalm 78
2:39:04 Psalm 79
2:40:54 Psalm 80
2:43:00 Psalm 81
2:44:51 Psalm 82
2:45:42 Psalm 83
2:47:35 Psalm 84
2:49:08 Psalm 85
2:50:34 Psalm 86
2:52:43 Psalm 87
2:53:35 Psalm 88
2:55:37 Psalm 89
3:01:34 1 Peter 1
3:05:51 1 Peter 2
3:09:42 1 Peter 3
3:13:20 1 Peter 4
3:16:28 1 Peter 5
3:18:52 James 1
3:22:51 James 2
3:26:26 James 3
3:29:06 James 4
3:31:35 James 5

Support the channel: [Spendenlink]

#biblesleep #psalmsforsleep #christiansleep #bibleversesforsleep #scriptureforsleep
