kanal,rolle,video_id,titel,views,likes,like_rate_pct,dauer_s,dauer_h,aufloesung,fps,tags_gesetzt,tags_anzahl,captions,sprache_start_s,sprache_bis_s,sprache_bis_pct,sprech_netto_s,sprech_anteil_pct,max_pause_s,pausen_ueber_60s
UCBnoLXdJ9tIR-8vjSdgiYAw,TOP,Ln4_CtkZsRs,If You're Anxious; Rest to the Gospel of John Tonight,244260,10193,4.17,14831,4.12,1920x1080,30,NEIN,NA,NEIN,3.1,14830.8,100.0,14799.0,99.8,1.6,0
UCBnoLXdJ9tIR-8vjSdgiYAw,MEDIAN,Sym1B02N8DA,Lord; I Feel Tired,184571,4177,2.26,12813,3.56,1916x1080,25,NEIN,NA,NEIN,2.0,12813.3,100.0,12706.4,99.2,2.6,0
UCBnoLXdJ9tIR-8vjSdgiYAw,FLOP,NJSq3WYyrCY,You're Tired; I Know... Jesus Watches Over You Tonight,12537,284,2.27,15147,4.21,1920x1080,24,NEIN,NA,NEIN,2.4,15109.8,99.8,14992.4,99.0,2.0,0
UC1AOmfQ2hsB0G0QBw5iCaUQ,TOP,c7zCK8BPv4E,God’s Word for You Tonight: “I Am Here—You’re Not Alone” | Powerful Ni,1025839,17352,1.69,6798,1.89,3840x2160,30,JA,NA,NEIN,0.1,6793.6,99.9,6792.5,99.9,0.5,0
UC1AOmfQ2hsB0G0QBw5iCaUQ,MEDIAN,FG8LTL1IKe0,Let His Mighty Hand Guard You Tonight | Before Sleep for Peace & Prote,28078,817,2.91,5012,1.39,2560x1438,30,JA,NA,NEIN,0.0,4991.7,99.6,4990.8,99.6,0.3,0
UC1AOmfQ2hsB0G0QBw5iCaUQ,FLOP,VwOnxdSFc3M,"Let Go & Trust God Tonight | Night Prayer for Peace, Rest & Surrender ",1465,55,3.75,5075,1.41,NA,NA,JA,25,NEIN,0.1,5055.6,99.6,5055.6,99.6,0.0,0
UC_oYrNMZ081r-ZgxY-883_w,TOP,rbZHUqXDHHc,Fall Asleep to Gospel of John Like Never Before | Holy Bible Audio for,1971734,49632,2.52,24013,6.67,NA,NA,JA,30,NEIN,1.8,24015.2,100.0,24010.0,100.0,1.6,0
UC_oYrNMZ081r-ZgxY-883_w,MEDIAN,ZXgtJSgIvto,Play THESE Psalms All Night And See What God Does,184350,3655,1.98,36000,10.0,NA,NA,JA,28,NEIN,0.2,35963.1,99.9,35028.6,97.3,2.0,0
UC_oYrNMZ081r-ZgxY-883_w,FLOP,pHDW7-nSTic,Fall Asleep to Holy Week Explained | The Final Week of Jesus with Deep,26594,789,2.97,13018,3.62,NA,NA,JA,25,NEIN,1.5,13018.7,100.0,13005.1,99.9,1.3,0
UCo6ArZxfwPQ4uSCFiqfDK9A,TOP,2VblWeklFA8,"Fall Asleep to the Story of Jesus, 4 Gospels with piano and rain sound",178745,3100,1.73,32373,8.99,NA,NA,JA,31,NEIN,0.6,32366.4,100.0,31691.3,97.9,8.5,0
